period,game_time,player_off,player_def,distance_away
1,1999.0,D. McCarty,A. Walkes,4.388405177282516
1,2005.2,A. Danladi,G. Bello,1.5261061562027736
1,2026.96,D. Lovitz,T. Wolff,3.8466218945979085
1,2031.6,A. Danladi,Matheus Rossetto,3.0858548248418938
1,2035.48,D. McCarty,T. Wolff,4.383103923020763
1,2038.16,D. Badji,M. Robinson,1.2841339493993615
1,2042.08,D. McCarty,A. Jahn,2.6925266943894917
1,2047.76,W. Zimmerman,Matheus Rossetto,3.5878823838024574
1,2053.08,D. McCarty,J. Larentowicz,1.5886157496386606
1,2057.32,W. Zimmerman,A. Jahn,2.0502195004437946
1,2060.84,A. Danladi,G. Bello,0.5920304046246283
1,2062.52,D. McCarty,Matheus Rossetto,2.2426992665089993
1,2066.88,D. Romney,A. Jahn,2.670880004792428
1,2069.36,A. Johnston,Matheus Rossetto,0.9638464608017218
1,2071.76,W. Zimmerman,Matheus Rossetto,3.681317698868162
1,2073.88,A. Johnston,Matheus Rossetto,3.73162163140906
1,2075.44,H. Mukhtar,M. Robinson,3.6480268639361753
1,2090.04,A. Danladi,E. Barco,1.2819126335285111
1,2090.84,H. Mukhtar,E. Barco,3.511723223717953
1,2096.12,D. Badji,E. Barco,3.439098719141397
1,2106.2,D. Lovitz,B. Lennon,0.9625487000666518
1,2112.44,A. Godoy,T. Wolff,1.6629191201017568
1,2118.36,D. Badji,A. Walkes,2.401603630909979
1,2139.32,D. Lovitz,B. Lennon,2.078581246908574
1,2207.2,D. McCarty,J. Larentowicz,3.7107681145552593
1,2209.48,H. Mukhtar,Matheus Rossetto,2.8999482754007886
1,2232.96,A. Danladi,E. Barco,0.7919595949289326
1,2237.52,D. Badji,J. Larentowicz,0.7766595135579046
1,2257.76,D. McCarty,J. Larentowicz,2.4678938388836755
1,2271.84,A. Godoy,T. Wolff,1.0204410811016966
1,2272.68,H. Mukhtar,T. Wolff,1.469965986001037
1,2277.76,D. McCarty,A. Jahn,2.322003445303215
1,2281.28,H. Mukhtar,B. Lennon,3.1002580537755238
1,2312.64,W. Zimmerman,A. Jahn,0.5011985634456648
1,2315.04,D. McCarty,Matheus Rossetto,0.4701063709417252
1,2348.36,D. Lovitz,B. Lennon,0.49406477308142444
1,2409.84,W. Zimmerman,A. Jahn,2.5728777662376427
1,2411.36,A. Godoy,Matheus Rossetto,3.170425838905557
1,2417.2,D. Lovitz,B. Lennon,1.7608236708995033
1,2420.24,D. McCarty,A. Jahn,0.6985699678629188
1,2424.4,A. Godoy,A. Jahn,3.245627828325362
1,2425.32,D. Lovitz,A. Jahn,2.8745956237356243
1,2426.44,D. McCarty,A. Jahn,2.0611889772653047
1,2432.12,A. Godoy,Matheus Rossetto,2.4014162487998623
1,2440.72,A. Danladi,G. Bello,0.7481310045707219
1,2461.68,D. McCarty,E. Barco,1.5890248582070714
1,2462.8,D. Lovitz,B. Lennon,1.4169333082400175
1,2464.56,A. Muyl,E. Barco,4.799635402819677
1,2473.24,H. Mukhtar,F. Escobar,4.658433213001985
1,2474.52,D. Badji,M. Robinson,2.1862525014279584
1,2506.76,D. Romney,A. Jahn,1.5208550226763893
1,2603.44,D. Badji,M. Robinson,0.7083078426785907
1,2610.24,D. McCarty,E. Barco,1.9126944345608365
1,2620.24,H. Mukhtar,J. Larentowicz,1.6055217220579732
1,2621.0,D. McCarty,B. Lennon,3.7137178137279063
2,6.48,W. Zimmerman,A. Jahn,3.5645196029759743
2,13.76,A. Muyl,F. Escobar,0.35735136770411285
2,18.52,D. McCarty,T. Wolff,4.064148127221745
2,22.76,A. Johnston,Matheus Rossetto,2.7872746545685074
2,23.0,A. Danladi,Matheus Rossetto,3.529999999999999
2,33.68,A. Godoy,J. Larentowicz,0.6488451279003331
2,37.44,H. Mukhtar,M. Robinson,3.5303399269758713
2,38.16,D. McCarty,M. Robinson,3.6048439633359997
2,43.36,D. Romney,E. Barco,4.572461044120551
2,55.0,D. Badji,T. Wolff,1.0720074626605922
2,57.72,W. Zimmerman,E. Barco,2.8846663585239805
2,63.24,D. Lovitz,F. Escobar,3.098903031719451
2,68.76,H. Mukhtar,J. Larentowicz,2.6305322655310652
2,69.48,A. Godoy,J. Larentowicz,4.257346591481601
2,70.0,H. Mukhtar,J. Larentowicz,2.906630351455098
2,71.12,D. Lovitz,J. Larentowicz,4.5663333211669945
2,81.0,A. Danladi,T. Wolff,0.6618912297349164
2,83.56,A. Johnston,T. Wolff,3.933764100705581
2,86.04,A. Godoy,A. Jahn,0.18357559750685867
2,90.28,H. Mukhtar,J. Larentowicz,2.963781368454833
2,96.48,A. Godoy,E. Barco,1.8245547402037596
2,105.16,H. Mukhtar,J. Larentowicz,3.8343839140075686
2,107.56,A. Godoy,E. Barco,1.8645374761586302
2,113.6,D. McCarty,E. Barco,1.6259458785580776
2,117.64,D. Badji,T. Wolff,1.7799157283422158
2,119.32,D. McCarty,E. Barco,2.043942269243434
2,125.44,A. Muyl,M. Robinson,0.3488552708502455
2,265.2,A. Godoy,G. Bello,1.672602762164405
2,272.24,W. Zimmerman,E. Barco,2.4116799124261896
2,296.08,A. Johnston,G. Bello,4.2692973660779385
2,298.44,A. Danladi,J. Larentowicz,3.3902949724175935
2,307.04,D. Badji,A. Walkes,2.1470444802099493
2,320.88,D. Lovitz,J. Damm,3.3780023682644154
2,322.92,H. Mukhtar,J. Larentowicz,2.643936459145719
2,324.28,A. Godoy,J. Damm,2.0374493858744076
2,325.16,D. Lovitz,A. Jahn,2.430329195808667
2,337.28,A. Godoy,Matheus Rossetto,1.6633700730745415
2,338.72,D. McCarty,M. Robinson,2.343501653509124
2,340.24,A. Muyl,F. Escobar,0.23345235059857508
2,379.52,D. Romney,A. Jahn,0.5445181356024793
2,391.96,D. McCarty,A. Jahn,3.753784756748851
2,393.52,A. Godoy,A. Jahn,3.0748333288163736
2,395.28,H. Mukhtar,F. Escobar,2.4881519246219663
2,406.32,D. Badji,M. Robinson,0.5283937925449169
2,471.08,D. McCarty,T. Wolff,3.9373341234901558
2,472.08,A. Danladi,G. Bello,0.4924428900898055
2,474.28,D. Badji,A. Walkes,0.44922154890432475
2,512.92,A. Danladi,A. Jahn,2.5821309029559294
2,523.76,A. Johnston,T. Wolff,4.183455509504073
2,531.32,H. Mukhtar,M. Robinson,1.860349429542741
2,532.24,D. McCarty,J. Larentowicz,3.4457074745253697
2,555.48,D. Badji,Matheus Rossetto,4.32585251713463
2,560.52,H. Mukhtar,J. Larentowicz,2.837340303876149
2,567.56,A. Godoy,J. Larentowicz,1.2869343417595167
2,628.84,W. Zimmerman,A. Jahn,1.25
2,666.68,D. McCarty,E. Barco,2.8716719868397216
2,668.72,D. Badji,E. Remedi,0.4472135954999557
2,669.84,D. McCarty,J. Larentowicz,4.454267616567283
2,670.72,H. Mukhtar,J. Damm,3.642430507230025
2,672.6,D. Badji,J. Larentowicz,4.090684539291681
2,673.04,H. Mukhtar,J. Larentowicz,0.6171709649683796
2,674.92,D. McCarty,J. Larentowicz,4.219016473065731
2,679.56,A. Danladi,B. Guzan,3.693995127230135
2,754.64,A. Johnston,J. Gallagher,0.461735855224608
2,756.24,A. Godoy,E. Remedi,1.08452754690695
2,772.64,A. Johnston,G. Bello,1.9723082923316029
2,778.12,D. Badji,M. Robinson,0.37656340767525565
2,780.96,A. Danladi,B. Guzan,0.5813776741499472
2,789.92,A. Godoy,J. Larentowicz,3.131293662370235
2,792.28,A. Muyl,J. Larentowicz,2.877585793681919
2,819.48,D. McCarty,E. Barco,1.969466932954195
2,896.72,H. Mukhtar,M. Robinson,1.4918780110987624
2,1001.8,A. Godoy,A. Jahn,3.4270687183072357
2,1004.56,D. McCarty,J. Damm,3.7114013525890726
2,1011.32,D. Lovitz,J. Damm,1.8232114523554321
2,1023.04,A. Godoy,G. Bello,1.3697079980784206
2,1150.16,A. Winn,A. Walkes,1.598311609167626
2,1154.04,H. Mukhtar,G. Bello,3.943703842836072
2,1205.2,A. Johnston,J. Gallagher,0.6466065264130885
2,1228.84,W. Zimmerman,A. Jahn,0.8633075929238664
2,1231.44,D. Badji,J. Gallagher,2.1600462958001594
2,1236.6,D. Romney,E. Barco,3.651985761198966
2,1242.68,T. Washington,F. Escobar,0.3640054944640273
2,1288.48,D. McCarty,J. Gallagher,1.7692088627406326
2,1443.2,D. Romney,A. Jahn,2.746525077256713
2,1446.04,T. Washington,J. Larentowicz,0.8399999999999999
2,1449.76,D. Lovitz,J. Damm,2.656332057556058
2,1485.08,A. Winn,E. Barco,1.5877342346879084
2,1498.2,A. Johnston,A. Jahn,1.2419339757008014
2,1499.08,W. Zimmerman,A. Jahn,1.279882807135095
2,1499.4,D. McCarty,A. Jahn,2.0106217943710827
2,1510.2,W. Zimmerman,A. Jahn,1.2034118164618475
2,1512.36,H. Mukhtar,A. Walkes,0.7975587752636178
2,1514.76,W. Zimmerman,A. Jahn,0.4099999999999986
2,1570.48,D. Badji,M. Robinson,4.1931491745465
2,1570.68,T. Washington,M. Robinson,0.5119570294468081
2,1573.72,H. Mukhtar,J. Larentowicz,3.2228093334853054
2,1579.88,A. Winn,G. Bello,0.6723094525588644
2,1604.92,D. Lovitz,J. Damm,2.782966043630428
2,1667.32,D. Romney,A. Jahn,1.9681463360228044
2,1800.28,W. Zimmerman,E. Torres,1.583824485225557
2,1863.24,D. Romney,E. Torres,2.293338178289456
2,1863.32,D. Jones,E. Torres,2.2772790781983665
2,1863.48,W. Zimmerman,E. Torres,0.8348652585896732
2,1876.36,D. Romney,E. Torres,3.436568055487915
2,1924.8,A. Winn,G. Bello,0.890673902166221
2,1960.76,A. Godoy,E. Torres,1.3669308687713506
2,1964.8,A. Johnston,J. Mulraney,1.6999999999999997
2,1968.04,J. Willis,J. Mulraney,1.7366922582887254
2,1971.16,T. Washington,F. Escobar,0.5147815070493491
2,1987.16,D. Lovitz,E. Torres,0.930215028904609
2,2009.04,A. Johnston,E. Torres,1.3018832512940637
2,2011.12,A. Winn,J. Mulraney,3.9772477921296336
2,2013.88,A. Godoy,J. Larentowicz,4.020174125582126
2,2015.6,D. Jones,F. Escobar,0.34525353003264114
2,2101.56,W. Zimmerman,E. Remedi,0.8805112151472008
2,2106.04,A. Godoy,E. Barco,1.7102631376487043
2,2157.72,J. Willis,E. Torres,1.9067249408344127
2,2174.24,D. McCarty,E. Barco,3.988107320521854
2,2175.44,D. Rios,J. Larentowicz,0.4700000000000024
2,2250.24,T. Washington,E. Remedi,2.2177691493931504
2,2256.36,D. Rios,F. Escobar,0.9953893710503422
2,2266.36,D. McCarty,E. Remedi,2.1518828964420926
2,2269.84,A. Godoy,E. Barco,3.5223003846918
